Strike,Kappa_0.5,Kappa_1.0,Kappa_2.0
50,0.31092,0.30101,0.284755
51,0.308358,0.298622,0.282672
52,0.305819,0.296257,0.28061
53,0.303302,0.293914,0.278573
54,0.300805,0.291591,0.276556
55,0.298327,0.289288,0.27456
56,0.295867,0.287004,0.272583
57,0.293425,0.284739,0.270626
58,0.290999,0.282491,0.268686
59,0.288589,0.280258,0.266765
60,0.286193,0.278042,0.26486
61,0.283811,0.27584,0.262972
62,0.281441,0.273652,0.2611
63,0.279083,0.271478,0.259242
64,0.276737,0.269317,0.2574
65,0.2744,0.267167,0.255572
66,0.272074,0.26503,0.253758
67,0.269756,0.262903,0.251957
68,0.267447,0.260786,0.250169
69,0.265145,0.25868,0.248394
70,0.262851,0.256582,0.246632
71,0.260562,0.254494,0.244881
72,0.258279,0.252414,0.243141
73,0.256001,0.250341,0.241414
74,0.253727,0.248277,0.239697
75,0.251457,0.246219,0.23799
76,0.24919,0.244168,0.236295
77,0.246925,0.242123,0.23461
78,0.244662,0.240084,0.232935
79,0.242401,0.23805,0.231269
80,0.24014,0.236022,0.229614
81,0.23788,0.233999,0.227968
82,0.235619,0.23198,0.226332
83,0.233358,0.229966,0.224706
84,0.231096,0.227956,0.223088
85,0.228832,0.225951,0.22148
86,0.226566,0.223949,0.219881
87,0.224298,0.221951,0.218292
88,0.222027,0.219958,0.216711
89,0.219753,0.217968,0.21514
90,0.217476,0.215982,0.213579
91,0.215196,0.214,0.212026
92,0.212912,0.212022,0.210483
93,0.210625,0.210049,0.20895
94,0.208335,0.20808,0.207426
95,0.206043,0.206117,0.205912
96,0.203748,0.204159,0.204408
97,0.201451,0.202207,0.202915
98,0.199154,0.200261,0.201432
99,0.196857,0.198323,0.199959
100,0.194562,0.196394,0.198498
101,0.192269,0.194473,0.197047
102,0.189982,0.192563,0.195609
103,0.187702,0.190665,0.194182
104,0.185433,0.188779,0.192768
105,0.183176,0.186908,0.191366
106,0.180936,0.185052,0.189978
107,0.178717,0.183214,0.188603
108,0.176523,0.181396,0.187243
109,0.174359,0.1796,0.185897
110,0.172231,0.177827,0.184566
111,0.170144,0.17608,0.18325
112,0.168105,0.174363,0.181951
113,0.16612,0.172676,0.180669
114,0.164195,0.171023,0.179404
115,0.162338,0.169407,0.178157
116,0.160554,0.167829,0.176928
117,0.15885,0.166294,0.175718
118,0.157231,0.164803,0.174529
119,0.155701,0.163359,0.173359
120,0.154265,0.161964,0.172211
121,0.152926,0.160621,0.171084
122,0.151683,0.159331,0.169979
123,0.150539,0.158097,0.168897
124,0.149492,0.156919,0.167839
125,0.14854,0.155799,0.166804
126,0.147682,0.154738,0.165793
127,0.146912,0.153735,0.164808
128,0.146228,0.152792,0.163847
129,0.145625,0.151907,0.162912
130,0.145098,0.15108,0.162003
131,0.144643,0.15031,0.16112
132,0.144254,0.149596,0.160264
133,0.143927,0.148936,0.159435
134,0.143657,0.148329,0.158632
135,0.14344,0.147773,0.157856
136,0.14327,0.147265,0.157107
137,0.143146,0.146804,0.156385
138,0.143061,0.146388,0.15569
139,0.143014,0.146014,0.155021
140,0.143001,0.14568,0.154379
141,0.143019,0.145384,0.153764
142,0.143065,0.145124,0.153173
143,0.143136,0.144898,0.152609
144,0.143232,0.144704,0.15207
145,0.143348,0.14454,0.151556
146,0.143484,0.144403,0.151065
147,0.143638,0.144293,0.150599
148,0.143807,0.144208,0.150156
149,0.143992,0.144145,0.149736
150,0.14419,0.144104,0.149338
151,0.1444,0.144083,0.148961
152,0.14462,0.14408,0.148605
153,0.144851,0.144095,0.148271
154,0.145091,0.144126,0.147954
155,0.145339,0.144172,0.147658
156,0.145595,0.144233,0.14738
157,0.145857,0.144305,0.14712
158,0.146125,0.144391,0.146876
159,0.146399,0.144488,0.146649
160,0.146678,0.144595,0.14644
161,0.146962,0.144711,0.146245
162,0.147248,0.144837,0.146066
163,0.147538,0.144975,0.145898
164,0.147832,0.145116,0.145745
165,0.148129,0.145265,0.145608
166,0.148431,0.145421,0.145482
167,0.148732,0.145585,0.145364
168,0.149034,0.145753,0.145265
169,0.149339,0.145928,0.145173
170,0.149651,0.146104,0.145089
171,0.149957,0.146287,0.14502
172,0.150262,0.146478,0.144959
173,0.150575,0.146668,0.144914
174,0.15088,0.146867,0.144868
175,0.151193,0.147065,0.144837
