Strike,V0_0.01,V0_0.04,V0_0.09
50,0.257928,0.30101,0.352665
51,0.255414,0.298622,0.350475
52,0.252938,0.296257,0.34831
53,0.250489,0.293914,0.346169
54,0.248044,0.291591,0.344051
55,0.24562,0.289288,0.341956
56,0.243222,0.287004,0.339882
57,0.240836,0.284739,0.337828
58,0.23846,0.282491,0.335794
59,0.236103,0.280258,0.33378
60,0.233762,0.278042,0.331784
61,0.23143,0.27584,0.329805
62,0.229108,0.273652,0.327844
63,0.2268,0.271478,0.325899
64,0.224503,0.269317,0.32397
65,0.222214,0.267167,0.322057
66,0.219932,0.26503,0.320159
67,0.217661,0.262903,0.318275
68,0.215398,0.260786,0.316405
69,0.21314,0.25868,0.314548
70,0.210887,0.256582,0.312705
71,0.208641,0.254494,0.310875
72,0.206401,0.252414,0.309056
73,0.204165,0.250341,0.30725
74,0.201931,0.248277,0.305456
75,0.1997,0.246219,0.303673
76,0.197473,0.244168,0.301901
77,0.195248,0.242123,0.300139
78,0.193024,0.240084,0.298388
79,0.190801,0.23805,0.296648
80,0.188578,0.236022,0.294917
81,0.186356,0.233999,0.293196
82,0.184133,0.23198,0.291485
83,0.18191,0.229966,0.289783
84,0.179684,0.227956,0.28809
85,0.177458,0.225951,0.286407
86,0.175229,0.223949,0.284732
87,0.172999,0.221951,0.283067
88,0.170767,0.219958,0.28141
89,0.168531,0.217968,0.279761
90,0.166293,0.215982,0.278122
91,0.164053,0.214,0.276491
92,0.161811,0.212022,0.274868
93,0.159567,0.210049,0.273254
94,0.157321,0.20808,0.271649
95,0.155074,0.206117,0.270052
96,0.152826,0.204159,0.268464
97,0.15058,0.202207,0.266885
98,0.148336,0.200261,0.265315
99,0.146095,0.198323,0.263754
100,0.14386,0.196394,0.262202
101,0.141632,0.194473,0.26066
102,0.139416,0.192563,0.259127
103,0.137213,0.190665,0.257604
104,0.135028,0.188779,0.25609
105,0.132866,0.186908,0.254588
106,0.130732,0.185052,0.253096
107,0.128631,0.183214,0.251615
108,0.12657,0.181396,0.250145
109,0.124558,0.1796,0.248687
110,0.122602,0.177827,0.247241
111,0.120711,0.17608,0.245808
112,0.118894,0.174363,0.244388
113,0.11716,0.172676,0.242981
114,0.11552,0.171023,0.241588
115,0.11398,0.169407,0.24021
116,0.112549,0.167829,0.238846
117,0.111233,0.166294,0.237498
118,0.110036,0.164803,0.236166
119,0.108961,0.163359,0.234851
120,0.108007,0.161964,0.233553
121,0.107173,0.160621,0.232272
122,0.106455,0.159331,0.23101
123,0.105848,0.158097,0.229767
124,0.105345,0.156919,0.228543
125,0.104941,0.155799,0.227339
126,0.104627,0.154738,0.226155
127,0.104396,0.153735,0.224993
128,0.10424,0.152792,0.223852
129,0.104151,0.151907,0.222733
130,0.104123,0.15108,0.221636
131,0.104149,0.15031,0.220562
132,0.104223,0.149596,0.219512
133,0.104341,0.148936,0.218485
134,0.104498,0.148329,0.217481
135,0.10469,0.147773,0.216502
136,0.104911,0.147265,0.215548
137,0.105157,0.146804,0.214618
138,0.105426,0.146388,0.213712
139,0.105712,0.146014,0.212832
140,0.106017,0.14568,0.211976
141,0.106338,0.145384,0.211145
142,0.106675,0.145124,0.210339
143,0.107026,0.144898,0.209558
144,0.107392,0.144704,0.208801
145,0.107766,0.14454,0.208069
146,0.10814,0.144403,0.207361
147,0.108518,0.144293,0.206677
148,0.108895,0.144208,0.206016
149,0.109277,0.144145,0.20538
150,0.109666,0.144104,0.204766
151,0.110063,0.144083,0.204175
152,0.110475,0.14408,0.203606
153,0.110902,0.144095,0.203059
154,0.111329,0.144126,0.202534
155,0.111756,0.144172,0.202029
156,0.112153,0.144233,0.201545
157,0.112535,0.144305,0.201081
158,0.112885,0.144391,0.200637
159,0.113252,0.144488,0.200212
160,0.113618,0.144595,0.199805
161,0.114045,0.144711,0.199417
162,0.114503,0.144837,0.199046
163,0.115052,0.144975,0.198692
164,0.11554,0.145116,0.198355
165,0.116029,0.145265,0.198033
166,0.116395,0.145421,0.197728
167,0.1167,0.145585,0.197437
168,0.116822,0.145753,0.197161
169,0.116944,0.145928,0.196899
170,0.117188,0.146104,0.196651
171,0.117677,0.146287,0.196416
172,0.118165,0.146478,0.196194
173,0.118897,0.146668,0.195984
174,0.119874,0.146867,0.195786
175,0.120606,0.147065,0.1956
