time,N=2,N=20,N=100,N=500,N=1000
0,100,100,100,100,100
0.002,99.5050840716,99.5050840716,99.5050840716,99.5050840716,99.5050840716
0.004,99.9363267761,99.9766988894,100.011738966,100.026693742,100.029762191
0.006,99.0700863325,98.9689058361,98.9032160415,98.8830547611,98.8792776527
0.008,97.1629214454,96.66383462,96.361290855,96.2688109376,96.2512173001
0.01,97.5408515006,97.1534194694,96.9167452269,96.8462090326,96.8329572376
0.012,97.6115365137,97.2337426932,96.9936409887,96.9182303978,96.9037363534
0.014,97.627851575,97.2513087739,97.0107422151,96.9351460437,96.9206333217
0.016,97.1332020761,96.7265626131,96.5154260242,96.448825026,96.4359310932
0.018,97.335356681,96.9469028534,96.7364992249,96.6724946424,96.6602299231
0.02,97.4602113101,97.0700082756,96.8468292447,96.7764990401,96.7627777915
0.022,98.4843525806,98.0671904235,97.7799690189,97.7003471872,97.6858681944
0.024,98.0198452109,97.6746981543,97.4645757002,97.415910622,97.4083431606
0.026,96.1383741887,95.6823959269,95.4030788315,95.3151592927,95.3014975847
0.028,96.9090823642,96.6620800055,96.5290025368,96.4991041949,96.4964927801
0.03,97.984315127,97.8059484415,97.5016834998,97.29068395,97.2373661309
0.032,97.6167783491,97.4432136288,97.1978072646,97.0036229838,96.9514541502
0.034,98.1329239465,97.9137305122,97.5864022561,97.3742586672,97.3190263807
0.036,96.9121790961,96.9570317055,96.8884541211,96.7450364827,96.703458662
0.038,96.4924959918,96.5783987996,96.5293979802,96.3802920123,96.3374387424
0.04,96.3277151589,96.4201428818,96.370425148,96.2183061382,96.1749129701
0.042,96.9840173771,97.1277695497,97.135818595,97.0131226942,96.9754344673
0.044,96.1423270184,96.2995609656,96.3593390273,96.2775621809,96.2504782566
0.046,96.9018166231,97.1693439972,97.294025579,97.2343426912,97.2109060593
0.048,97.1662574241,97.5034354869,97.6700238191,97.6242004925,97.6032407359
0.05,97.6496516665,98.1506116323,98.4043398104,98.3837119786,98.3671413449
0.052,96.0664064776,96.1226929048,96.2758791261,96.272674355,96.2632129301
0.054,95.1462940732,94.8355022816,94.828679666,94.7769724106,94.75846151
0.056,95.0929106375,94.7586607843,94.74451427,94.6918895774,94.6733180217
0.058,93.4192251401,92.5409993575,92.4574850157,92.4234750511,92.4107139618
0.06,94.4174980034,93.8809540271,93.8710148886,93.8536676732,93.8438661797
0.062,95.1669332943,94.8548886758,94.8602341866,94.8347886863,94.8224684819
0.064,95.8732184508,95.7305314627,95.7153120642,95.673283707,95.6572344311
0.066,95.6878705145,95.5078543995,95.5013985886,95.4630356468,95.4477421269
0.068,95.4124439023,95.1550993796,95.1318425975,95.0851949878,95.0682348848
0.07,96.7227248406,96.7423801717,96.6937028929,96.616136911,96.5907609941
0.072,95.011486061,94.6856738301,94.6535094072,94.5877564167,94.5650655877
0.074,92.732977526,91.6733817599,91.3804067091,91.2100503189,91.1667107741
0.076,91.6413484042,90.0728927232,89.536894646,89.2777284667,89.2170649245
0.078,90.9035957675,88.9513945784,88.2527717304,87.9461687318,87.8768737582
0.08,89.2512544252,86.4476105854,85.4613673459,85.0890454661,85.0085437973
0.082,89.171273958,86.3189857279,85.3168925787,84.9407084923,84.8595039963
0.084,91.3825477992,89.7259947017,89.0619782627,88.7657204269,88.6988945631
0.086,91.738474614,90.2344726609,89.5740102638,89.266438277,89.1967379749
0.088,90.0572010589,88.0016668323,87.4647949309,87.2213981802,87.1633868372
0.09,90.2126203985,88.2132503225,87.6840551065,87.4451205093,87.3881247893
0.092,91.0640044984,89.3971377487,88.9180489093,88.6959903584,88.6420053979
0.094,89.2919818249,87.0046239335,86.502032474,86.2878745593,86.2364390305
0.096,89.1528050146,86.7978636754,86.2754134827,86.0533067917,86.000242662
0.098,88.6414841829,86.0984937322,85.572635976,85.3631869252,85.3136705779
0.1,88.2274106245,85.568468538,85.0680209992,84.872050458,84.8250709629
0.102,87.8270189716,85.0371649745,84.5244821181,84.3203291976,84.2713829266
0.104,87.5151889611,84.640190903,84.1347271469,83.9356057291,83.8878964974
0.106,85.9179125222,82.5841540954,82.0355391931,81.8148515694,81.7624076658
0.108,86.0587874542,82.7612721769,82.2161308945,81.9964138671,81.9441269218
0.11,88.295075515,85.398474663,84.6603963204,84.3312990787,84.254744297
0.112,87.2805385013,84.3533600036,83.8165072139,83.5576600562,83.4936168769
0.114,86.7419458331,83.7899357654,83.2953962672,83.033514608,82.9678458267
0.116,84.4797969534,81.4253966328,81.0172018281,80.7409248578,80.6718529056
0.118,84.4546636631,81.3920130252,80.9789945281,80.7000420251,80.6304092462
0.12,85.3760730173,82.5061853282,82.1477159136,81.8789298614,81.8100171676
0.122,84.5410876808,81.6120200405,81.3532345768,81.1442897425,81.0884749806
0.124,84.4623411828,81.5205366634,81.2614905173,81.0514911929,80.9953774127
0.126,84.3656449315,81.406727041,81.1456159069,80.9345688744,80.8782566373
0.128,85.9626080896,83.2270943657,82.955899317,82.7357242827,82.6771442772
0.13,83.2030705974,80.1619475285,79.9691923003,79.78099603,79.7286503464
0.132,85.7452405328,83.4816364791,83.6679212786,83.641572511,83.6224092993
0.134,85.485429378,83.1583826724,83.3423420043,83.3241526997,83.3073211717
0.136,86.3254803071,84.1541842319,84.3122333293,84.2757718713,84.2557071455
0.138,86.7240516648,84.5868766516,84.6997266343,84.6443357829,84.6205316668
0.14,88.1062305051,86.0561035437,86.057779903,85.9856461101,85.9602131955
0.142,87.6089870259,85.584090916,85.6666357338,85.6219171439,85.6022902291
0.144,89.7952201195,87.8075727811,87.8126867795,87.7922871552,87.7790301607
0.146,89.3305265278,87.3981039027,87.4867233513,87.5066413969,87.5031607506
0.148,90.1341729133,88.1902641803,88.2559544901,88.276025175,88.2721337422
