time,N=2,N=20,N=100,N=500,N=1000
0,0.04,0.04,0.04,0.04,0.04
0.002,0.0424648998005,0.0508617795036,0.0587745940748,0.0623291166683,0.0630715883961
0.004,0.0446210907314,0.0603321653865,0.0729317416587,0.0775978103067,0.078523831022
0.006,0.0464944957623,0.0682696742323,0.0832850523722,0.0881774174678,0.0891284132183
0.008,0.0501650858636,0.0856340912377,0.111372464305,0.120742117469,0.122642827567
0.01,0.0466428116362,0.0619118604601,0.0566510591266,0.0492972999525,0.0475096371381
0.012,0.0459882189401,0.0573503891599,0.0534416153795,0.0519160235048,0.0517751006774
0.014,0.0448126651951,0.0507820221989,0.0455026588315,0.0439429971183,0.04366572783
0.016,0.0457719484993,0.0550593211559,0.0556835379353,0.0571117225497,0.057457020028
0.018,0.0432609724977,0.042365809637,0.0339433845179,0.0301000425283,0.0292473731389
0.02,0.0428109825359,0.0409157750841,0.0359992598461,0.0353378896285,0.0352899999687
0.022,0.0398473521384,0.0287445713925,0.0187073388473,0.0152523550616,0.0145270644491
0.024,0.0455104740949,0.0514390397734,0.0553440260863,0.057547572901,0.0578938093917
0.026,0.0532065845988,0.0869241951643,0.11560852152,0.128121113883,0.130571909939
0.028,0.0480721103509,0.0546752740138,0.0396582834449,0.0262918421915,0.023035142205
0.03,0.0461238337517,0.0451009123485,0.0319535520709,0.0286650979548,0.0284688839632
0.032,0.0441168387245,0.0367553763302,0.0251518660675,0.0229636232237,0.0226084496333
0.034,0.0409931906553,0.0252578669502,0.0135162363825,0.0110297190513,0.010567506548
0.036,0.0433453841433,0.0353017237186,0.0318133212971,0.0329191163499,0.0331764924043
0.038,0.0445808132557,0.0411288733967,0.0415345916639,0.043215295607,0.0435345883661
0.04,0.0479322060048,0.0556471860802,0.0652135448655,0.0705708413036,0.0716571001221
0.042,0.0456772859069,0.0440962526403,0.038757579435,0.0348712212218,0.0339000780499
0.044,0.0508192811025,0.0664822773586,0.0767124299266,0.0805310142039,0.0811939902193
0.046,0.0556976820812,0.0893203411149,0.113547973748,0.122483645666,0.12415310099
0.048,0.0593830168545,0.106390369771,0.136975673831,0.146825762459,0.148618833444
0.05,0.0581819178406,0.0947233959615,0.103869310445,0.102208457021,0.101551402862
0.052,0.0642362815068,0.125385821889,0.15789595793,0.168636756695,0.170711074484
0.054,0.0649644045814,0.124258059737,0.1454335881,0.148307172487,0.148538593156
0.056,0.0640659687226,0.113671797413,0.120984383048,0.119142028079,0.118574881213
0.058,0.0660456903726,0.121344590666,0.135299953942,0.138615214733,0.139228805853
0.06,0.0651275473418,0.111549510515,0.115123450922,0.113277551729,0.112717027983
0.062,0.0633973580729,0.0983255342013,0.0937234663312,0.0901510488739,0.0893696240524
0.064,0.0620049276428,0.0886810071091,0.0820932612495,0.0794648290059,0.0789393347982
0.066,0.065692630165,0.106905917602,0.11705446248,0.122306812483,0.123396100626
0.068,0.063898337671,0.0941936348735,0.091252680866,0.0877701447667,0.0868410771298
0.07,0.0638363648342,0.0923761263168,0.0909813892866,0.0900695110183,0.0898771911159
0.072,0.070078834987,0.124084411858,0.146919457479,0.156816869484,0.158844561378
0.074,0.0793372721091,0.17438567756,0.232777396059,0.256672230989,0.26153781506
0.076,0.0846062192255,0.200998367093,0.265908932416,0.287329009059,0.291414678464
0.078,0.0874185203158,0.210662193524,0.266464555054,0.281229335921,0.283908736651
0.08,0.0907333031383,0.223714923464,0.278986713098,0.294099371838,0.296970699439
0.082,0.0939047738392,0.23557359365,0.290517692392,0.305511188746,0.30835851284
0.084,0.0892438376423,0.192725044788,0.198540068587,0.190895821252,0.188934071729
0.086,0.0842329772152,0.154067357762,0.139431489213,0.131936917165,0.130629235468
0.088,0.0892307135648,0.180924036191,0.19804042015,0.208152798761,0.210517597706
0.09,0.0904848060627,0.183765027309,0.202209213066,0.208967283017,0.210258406464
0.092,0.0889109556727,0.168857970263,0.174091737411,0.17382007388,0.17366238749
0.094,0.096629233268,0.211980297961,0.25344886103,0.271118489675,0.27485397058
0.096,0.093070221122,0.181775230288,0.185707365308,0.180105148796,0.178507159125
0.098,0.0890995845635,0.15315043386,0.140780471913,0.134148402027,0.132944588157
0.1,0.0924929114934,0.170925712964,0.180751327781,0.18693732193,0.188442752247
0.102,0.0901436932892,0.153621384134,0.149995069802,0.146946190065,0.146194668983
0.104,0.0922391670548,0.16385314681,0.172914977209,0.177350824629,0.178352214637
0.106,0.0928901822929,0.165018272975,0.174617223892,0.17769727363,0.178279232236
0.108,0.0875666895886,0.131122274734,0.11431153194,0.104963687759,0.102944868328
0.11,0.0800583718333,0.0908047459084,0.060267581005,0.0510553322462,0.0495085349958
0.112,0.0799711143212,0.0935450571113,0.0811680295931,0.0826112210255,0.0832456657333
0.114,0.07932982128,0.0930457640635,0.0873430565648,0.0890274247766,0.0894377804905
