S,V
100,0.05
100.375,0.0619934
100.127,0.0736438
100.495,0.0888506
98.7272,0.0893637
99.6039,0.077144
97.8526,0.0855929
99.0147,0.0841961
99.4995,0.0740928
99.9638,0.0585865
102.014,0.0324501
101.972,0.0373535
101.426,0.0481247
102.306,0.0444071
103.431,0.0300266
103.989,0.0301246
103.859,0.043732
103.212,0.048233
102.536,0.0584845
103.52,0.0561973
102.853,0.0562951
104.281,0.048682
103.158,0.0495728
102.82,0.0578504
102.816,0.0576271
102.616,0.0551971
102.784,0.0614457
103.554,0.0592138
104.579,0.043703
106.311,0.0339689
106.269,0.0391916
105.333,0.0507539
106.028,0.0484596
106.743,0.0419915
106.842,0.0477585
107.441,0.0550087
108.293,0.050107
108.784,0.0358542
107.197,0.0450352
107.159,0.0532714
106.923,0.0343104
107.197,0.0288771
106.269,0.038929
106.301,0.0365936
105.145,0.0442146
106.621,0.0430022
107.292,0.0530112
106.943,0.0506164
108.226,0.0572571
108.532,0.0641815
107.963,0.080101
107.215,0.0900084
106.558,0.0919549
106.504,0.0980367
107.838,0.0661785
106.977,0.0651521
106.002,0.0766403
106.172,0.0901244
104.489,0.0941283
104.885,0.0863193
103.482,0.099599
103.769,0.0911818
103.647,0.0628633
103.695,0.0709933
103.166,0.0607899
102.778,0.0630286
101.485,0.0787235
102.092,0.0628893
101.91,0.0388235
101.966,0.0520303
102.629,0.0560803
101.734,0.0720431
102.537,0.0643305
102.269,0.0485317
101.761,0.0618098
103.608,0.0459205
103.364,0.0462518
103.951,0.04131
105.177,0.0306953
105.136,0.0473653
105.013,0.0498159
105.152,0.0238122
104.427,0.0320606
103.492,0.0382256
102.372,0.0627198
103.081,0.0673318
103.023,0.067512
103.509,0.0874572
103.603,0.0898922
104.959,0.0505886
105.484,0.0596244
106.22,0.0464136
106.786,0.0430294
106.658,0.0572068
105.938,0.066441
106.145,0.060777
105.896,0.0607539
105.579,0.0580177
103.899,0.0732839
103.108,0.0634173
102.035,0.0638102
101.776,0.061481
101.514,0.0714489
100.181,0.0755025
101.49,0.0673274
102.676,0.0727557
102.502,0.0972165
103.103,0.079087
103.874,0.0469635
103.036,0.0532771
102.457,0.0621957
101.728,0.0748254
100.523,0.0720386
101.227,0.073371
101.692,0.0665723
102.505,0.067256
102.276,0.0814274
101.379,0.0950926
102.198,0.0741611
99.6802,0.110383
98.7005,0.0994236
97.7337,0.114283
97.2414,0.094665
98.2059,0.0945127
98.7209,0.111989
99.9793,0.0894231
98.9825,0.082208
98.9863,0.0728857
99.591,0.0808281
100.453,0.0514554
101.286,0.0287909
101.598,0.0489909
100.484,0.0579673
100.125,0.0514128
100.592,0.0416213
100.279,0.0570273
100.018,0.0648784
99.5832,0.0408422
99.284,0.051061
100.224,0.0569945
101.349,0.0381657
101.549,0.0282453
100.633,0.0513815
100.71,0.0562645
101.292,0.0326123
100.805,0.0629255
99.7906,0.0654924
101.01,0.0503652
100.786,0.0505704
101.517,0.0662625
102.649,0.0465129
102.989,0.0386674
103.166,0.0324841
103.153,0.0237785
102.915,0.022103
103.216,0.0211862
102.986,0.0331109
103.385,0.0295981
103.239,0.0308504
103.559,0.039141
104.343,0.0309271
105.181,0.0256201
104.847,0.0370906
104.411,0.027159
104.664,0.0226064
104.759,0.0325994
105.655,0.0240205
106.371,0.0143324
106.625,0.0246098
107.426,0.0266298
108.185,0.0191015
106.969,0.0380414
106.092,0.0504665
105.716,0.0612466
105.653,0.0511925
105.692,0.0543571
105.808,0.0490483
105.797,0.0298604
106.049,0.0318456
106.001,0.0349398
106.301,0.0375744
105.034,0.0403984
105.057,0.0478535
104.393,0.0599491
103.466,0.0515894
103.716,0.0400214
103.722,0.0507878
104.255,0.0511751
104.436,0.0430812
104.692,0.0388466
104.096,0.0646739
102.596,0.0785266
101.053,0.0535868
101.744,0.0552645
101.26,0.0578818
101.194,0.0595877
100.763,0.0665199
101.062,0.0532715
100.71,0.0392707
99.8674,0.0530318
99.5896,0.0491083
99.2806,0.047435
100.318,0.0348759
99.5755,0.0315564
98.9441,0.0403902
99.0257,0.0320639
98.5537,0.0424277
98.0318,0.0325093
98.1212,0.0283589
98.4397,0.035546
98.5889,0.0227171
98.016,0.0357253
97.4532,0.0443424
96.645,0.0451178
95.8802,0.0382978
96.1043,0.0336369
95.6211,0.0438491
95.9224,0.048549
96.4571,0.0309085
95.7746,0.034616
96.4117,0.0380043
96.0499,0.0555868
96.5091,0.0546706
94.5164,0.075645
93.4343,0.0670731
93.0434,0.083138
93.1176,0.0769122
93.3844,0.0718436
93.4819,0.0699854
94.6136,0.0566028
94.2714,0.0553074
96.2096,0.0222816
95.8976,0.0416761
95.8677,0.0335679
97.0203,0.0284539
97.8078,0.0346503
99.2809,0.0349839
99.2294,0.0313785
99.0749,0.0397453
99.6689,0.0349407
100.059,0.0441245
100.578,0.0474156
100.579,0.0438213
99.2042,0.0401209
98.1216,0.0542965
99.402,0.022069
99.5154,0.0362338
99.0407,0.0467373
98.113,0.0389863
98.2358,0.0360746
97.5505,0.0460998
97.6628,0.041544
98.2844,0.0360774
97.8137,0.0430697
97.5962,0.0326035
97.402,0.0379487
97.1646,0.0366779
97.347,0.0298892
96.5036,0.0382779
96.9555,0.0408273
96.0289,0.0610293
95.7889,0.0524279
94.1362,0.0556248
94.3743,0.0645484
92.6824,0.0544617
92.2544,0.0686113
93.0423,0.0539779
92.9631,0.0660445
92.7729,0.0528555
92.2032,0.0586055
92.3422,0.0659119
93.265,0.0474828
93.1011,0.057876
92.7356,0.0606124
92.707,0.0394477
92.7993,0.0398191
92.8995,0.0517294
94.4697,0.0456233
94.8144,0.0413614
94.2088,0.0414629
94.0927,0.0494886
94.4437,0.0292581
94.0302,0.0306308
94.3019,0.023948
94.7259,0.0219862
