time,N=2,N=20,N=100,N=500,N=1000
0,100,100,100,100,100
0.002,99.5050840716,99.5050840716,99.5050840716,99.5050840716,99.5050840716
0.004,99.937063401,99.9796468962,100.01644259,100.032118391,100.035333828
0.006,99.0679327053,98.9597975666,98.888306398,98.8656609154,98.8613601166
0.008,97.1516344155,96.6156660063,96.2831339068,96.1784310794,96.1583120765
0.01,97.5318167339,97.1149070907,96.8538684043,96.7732188883,96.7578674771
0.012,97.6030228185,97.1976358649,96.9349725653,96.8503989994,96.8340321159
0.014,97.6194499077,97.2156664027,96.9527974005,96.868097949,96.8517191138
0.016,97.1191816196,96.6656113363,96.4218676447,96.3441819025,96.3290664646
0.018,97.3238436654,96.8966794452,96.6571318767,96.5826661148,96.5682935596
0.02,97.4504750969,97.027315948,96.7775557065,96.6976145231,96.681980742
0.022,98.4915034005,98.0926560165,97.7940357108,97.706446603,97.6901985362
0.024,98.0181106738,97.6653702944,97.4366408341,97.3778124802,97.3678831848
0.026,96.1007042101,95.5367488186,95.2076346486,95.0973360132,95.0781601574
0.028,96.8858485413,96.5706718764,96.4013287726,96.3541284992,96.3472292675
0.03,97.9841844341,97.8064237549,97.5093396294,97.3156932623,97.2691761608
0.032,97.6078520578,97.4093198313,97.161320207,96.985246771,96.9408422142
0.034,98.1371774983,97.9297875275,97.6086967742,97.4135825114,97.365886542
0.036,96.8817969905,96.8458411823,96.7711882139,96.6469854033,96.613274139
0.038,96.4499069444,96.4246240912,96.3666560171,96.236789701,96.2017403131
0.04,96.2800839752,96.2494184974,96.189606471,96.056579198,96.0209411945
0.042,96.9560613112,97.0217839339,97.0252582798,96.9229628207,96.8933689441
0.044,96.0869568758,96.1031606678,96.1444238584,96.0761741066,96.0554427561
0.046,96.8706025167,97.0517631096,97.1707653424,97.1303319184,97.1146556223
0.048,97.143323839,97.4127083112,97.5782346213,97.5535489239,97.5407948235
0.05,97.6421306973,98.1106966542,98.3734946275,98.3780517468,98.3706092543
0.052,96.0054606498,95.9015773382,96.0191545846,96.0225865198,96.018105569
0.054,95.0551017349,94.5114463172,94.4436617922,94.3888982586,94.3732323902
0.056,94.9997174767,94.4271076779,94.3497927816,94.2932976493,94.277396527
0.058,93.2682729167,92.0080633332,91.8065223401,91.7492268314,91.7350735039
0.06,94.3010279061,93.4678445425,93.3703403832,93.339339364,93.3301347277
0.062,95.07755081,94.5378530047,94.4806732779,94.4497901406,94.4398093062
0.064,95.810699135,95.5102549732,95.4568873142,95.4166108373,95.4043503092
0.066,95.6176770679,95.2592795129,95.2083388409,95.1701424308,95.1583256265
0.068,95.3310122813,94.865404649,94.788724519,94.7397656909,94.7257642963
0.07,96.6957017277,96.6498520941,96.5919451063,96.5264744244,96.5072038358
0.072,94.9110855965,94.3275239522,94.2314299444,94.1629236216,94.1433852506
0.074,92.5392886621,90.9827255377,90.5567733758,90.3629932428,90.3184755059
0.076,91.405399215,89.2325917426,88.5315340724,88.2390969205,88.1751877514
0.078,90.6395902411,88.0111975516,87.1247101201,86.7775063161,86.7034184589
0.08,88.9254079768,85.2885108793,84.062188979,83.6320998483,83.54320886
0.082,88.8421350684,85.1467497646,83.9007839308,83.4656261274,83.375786015
0.084,91.1359815422,88.8543676464,88.0232765803,87.6918322808,87.6212397221
0.086,91.5057868133,89.4150521985,88.6031095932,88.2658422625,88.1935392412
0.088,89.7538639509,86.9032119958,86.1348373221,85.8422294912,85.7782803553
0.09,89.9152779646,87.136698752,86.3811416784,86.0940671485,86.0313285258
0.092,90.801801658,88.45701802,87.7842273997,87.522347411,87.4642864161
0.094,88.9537440663,85.763511593,84.9938516117,84.7197857327,84.6602495847
0.096,88.8084439052,85.5313045713,84.7353153776,84.4514381801,84.38989421
0.098,88.2749539438,84.7430219308,83.9203516467,83.6413658757,83.5817029135
0.1,87.8421936857,84.1373883262,83.3210922178,83.0506615996,82.9926534256
0.102,87.4238475509,83.5341442993,82.6894978783,82.4070541949,82.3463547688
0.104,87.0975624148,83.0789741963,82.2284925322,81.9474779863,81.8872776084
0.106,85.4285244497,80.7435928761,79.7932669298,79.4765728646,79.4088704066
0.108,85.5752894747,80.9419988761,79.9990861961,79.6843786781,79.6170393491
0.11,87.9183260035,83.9995985315,82.9594750395,82.5666387642,82.4816507397
0.112,86.8509829384,82.7405612322,81.8533869516,81.5210482857,81.4473116797
0.114,86.2839768849,82.064958809,81.2037864201,80.867527098,80.7921222232
0.116,83.9036668043,79.2478829108,78.4171461429,78.0593361801,77.9790357857
0.118,83.8768696198,79.2071570802,78.3700168394,78.0090128215,77.9280415349
0.12,84.8436768391,80.4894716446,79.7323054657,79.3885358145,79.3098400454
0.122,83.9640391006,79.4233987096,78.7275518309,78.4290795266,78.3603485064
0.124,83.8807343195,79.3139790641,78.6145521767,78.3140919466,78.244871248
0.126,83.7785017856,79.1787763921,78.4735856183,78.1710982883,78.1014809346
0.128,85.4614301165,81.3157083382,80.6526841243,80.3552185671,80.2862195373
0.13,82.5496658793,77.691874018,77.0162703956,76.7272946499,76.6598865023
0.132,85.2220135787,81.4802213615,81.2635841948,81.1608223422,81.1317230358
0.134,84.9476263412,81.1013763054,80.8701027004,80.7708945874,80.7431118593
0.136,85.8340216012,82.2695826952,82.0484365271,81.9410615972,81.9118783875
0.138,86.2555383598,82.7887624659,82.5411655055,82.4199805303,82.3880671147
0.14,87.7214613185,84.573964219,84.2680301375,84.1387743242,84.106713474
0.142,87.1916251087,83.9777565781,83.7323483489,83.6250530084,83.5975133447
0.144,89.5193885413,86.72741984,86.4747536375,86.4084203627,86.3910812951
0.146,89.021899634,86.1950933732,86.0052313266,85.9688903341,85.9585268881
0.148,89.8801438448,87.1866476889,87.0032272999,86.9796550489,86.972112619
