time,N=2,N=20,N=100,N=500,N=1000
0,0.04,0.04,0.04,0.04,0.04
0.002,0.0426112223018,0.051505093869,0.0598811158475,0.0636447585039,0.0644312108887
0.004,0.0449184599317,0.0617793919503,0.0755257409611,0.080713381315,0.0817506192148
0.006,0.0469462571829,0.0706375414157,0.0875509462915,0.093255934077,0.0943770031927
0.008,0.0507834463118,0.0891871728815,0.11788781107,0.128505799753,0.130667824889
0.01,0.047390225791,0.066051243413,0.0636443927924,0.0572856863551,0.0556944448115
0.012,0.0468781069926,0.0620350073095,0.0604289031959,0.0593237994911,0.0592349106724
0.014,0.0458378741354,0.055803717236,0.0522962120407,0.0510211936257,0.0507941055298
0.016,0.0469532912537,0.0607695006452,0.0633809968497,0.065281099527,0.0657201737349
0.018,0.0445553828552,0.0479582004374,0.0407316398804,0.0370592269978,0.0362365017543
0.02,0.0442416391856,0.046734234073,0.0427699758171,0.0421991182401,0.0421614169725
0.022,0.0413708937523,0.0340182595981,0.0239883304191,0.0203344128544,0.0195697086298
0.024,0.0472805739433,0.0587936397676,0.0648268908151,0.0679657948055,0.0685372003495
0.026,0.0552674890591,0.0971495900164,0.130544644477,0.145114275761,0.14803631625
0.028,0.0501816834135,0.063920083112,0.0515826292788,0.038898592643,0.0357674387739
0.03,0.0483342304043,0.0539481829628,0.0418007665134,0.0378721344767,0.0374293517216
0.032,0.0464209108696,0.0450555459724,0.033405741008,0.0307214010723,0.0302766935761
0.034,0.0433559674186,0.0324332446184,0.019466447129,0.0163693933647,0.0157920053761
0.036,0.0459114574317,0.0437197267303,0.0404114049505,0.0416481900682,0.0419473195171
0.038,0.0473204104523,0.0503127389333,0.0514093798716,0.053351343478,0.0537291240796
0.04,0.0509109868843,0.0665800916532,0.078091586259,0.084204270446,0.0854528399449
0.042,0.048726506061,0.0543580914083,0.049978167525,0.0462900510847,0.0453546688545
0.044,0.0541746994503,0.0794443164526,0.0929680167113,0.0982341358867,0.0992249234872
0.046,0.0593518228606,0.104937500426,0.134338911797,0.145396702392,0.147526549827
0.048,0.0632990737483,0.124240001824,0.161360391595,0.173741261817,0.176071929581
0.05,0.062203851144,0.11261915177,0.127333887637,0.127444580389,0.127141465117
0.052,0.0686075269416,0.146857333245,0.188038072708,0.202126787147,0.204914285336
0.054,0.0695069808637,0.146791549283,0.176478138003,0.182219888293,0.183032459111
0.056,0.068724606292,0.136388826216,0.15112676521,0.151405434689,0.151247190974
0.058,0.0709209122855,0.145727333163,0.168010070675,0.173934043151,0.175074186679
0.06,0.070116136389,0.135996975968,0.146818910852,0.146948503109,0.146770922786
0.062,0.0684664773624,0.122243946248,0.123361193936,0.121062069477,0.120513558096
0.064,0.0671634153964,0.112141265012,0.110185505235,0.108508270586,0.108159826474
0.066,0.0711440275132,0.133144096405,0.150698242748,0.158400387249,0.159999747439
0.068,0.0694212130149,0.119698411412,0.122420129252,0.120318681012,0.119647343178
0.07,0.0694994239151,0.118203233531,0.12229971455,0.122784476758,0.12286192925
0.072,0.0761551844525,0.154595380152,0.187492595756,0.201001364441,0.203781231155
0.074,0.0859523953901,0.211653931416,0.285995481146,0.315849063454,0.321952131896
0.076,0.0915875856881,0.242450394264,0.325674995964,0.353498924199,0.358890440093
0.078,0.0946673677893,0.254811996332,0.329678741141,0.350746615804,0.354697076538
0.08,0.0982718560327,0.270977524069,0.346723081693,0.368540049084,0.372764579085
0.082,0.101729013677,0.28593946301,0.362748961911,0.384836740147,0.38911447871
0.084,0.0970358098037,0.240726147495,0.263179298629,0.259747715337,0.258575363299
