S,V
100,0.05
99.2254,0.0634863
99.0051,0.0579215
99.8304,0.0524846
99.9652,0.0539377
100.56,0.0490119
99.5384,0.0531652
99.8094,0.0566789
97.9998,0.082421
98.0917,0.068641
98.019,0.0494448
99.4659,0.054077
99.2272,0.0664694
99.9649,0.0700155
99.477,0.0636567
98.6443,0.067236
99.0364,0.0578883
98.7495,0.0721509
99.2937,0.0784593
98.4859,0.0866041
98.991,0.096844
98.4925,0.0854777
97.5664,0.0848302
96.7436,0.0996231
96.3063,0.0970758
97.0711,0.0928276
97.0359,0.0801679
98.5217,0.0514941
97.5385,0.0804007
97.4177,0.0660054
96.874,0.0733233
97.1997,0.0558859
97.2376,0.0788413
96.8928,0.0725455
96.3372,0.0632118
94.762,0.0906892
94.7839,0.0816779
95.4062,0.0747463
95.0298,0.0782121
96.1245,0.0591553
98.2738,0.0583386
97.794,0.0629954
98.1255,0.0659751
98.8007,0.0670982
99.6722,0.0664305
100.671,0.0716227
100.866,0.0418981
101.557,0.0387404
102.489,0.0206826
101.98,0.0328488
101.761,0.0426882
102.671,0.0525974
103.448,0.0396381
103.087,0.0422166
104.066,0.0435483
103.814,0.0432533
103.204,0.0523769
102.53,0.0708194
104.063,0.0437371
105.408,0.0409128
107.12,0.0309119
106.672,0.0461388
105.62,0.046258
105.146,0.0377234
103.493,0.0458975
104.037,0.049335
103.209,0.0574483
103.068,0.0716174
103.269,0.0524175
101.413,0.0701098
101.512,0.0625694
100.455,0.0650745
100.87,0.0451579
100.565,0.0601919
100.207,0.0645315
100.377,0.0506686
101.738,0.0323329
101.902,0.0293984
101.935,0.0380282
100.26,0.0658551
100.035,0.0635236
100.077,0.0650183
99.1049,0.0678343
101.692,0.0360672
102.336,0.04539
101.746,0.0490353
100.398,0.0672838
100.104,0.0556859
100.411,0.0629812
100.704,0.0524924
101.486,0.0453921
102.679,0.0423363
103.499,0.0376506
103.057,0.0466275
103.981,0.0637889
104.617,0.0552839
103.804,0.0498416
103.806,0.0619024
103.569,0.0580621
103.366,0.0599559
104.504,0.0284064
105.528,0.0312954
104.49,0.0322208
105.071,0.030667
104.341,0.0318021
104.156,0.0396749
103.962,0.0459095
104.927,0.0405547
105.721,0.0257095
106.048,0.0189258
105.806,0.0371596
105.492,0.0438423
103.925,0.0583423
104.237,0.0506769
104.924,0.0568564
105.135,0.0497593
106.359,0.026983
105.336,0.0482163
105.57,0.0463016
105.639,0.0382959
104.723,0.0408357
104.837,0.0359118
104.88,0.0462071
105.342,0.0496615
105.818,0.0341214
106.899,0.036332
106.106,0.0479364
104.752,0.0501618
105.985,0.0435953
107.177,0.0147112
106.736,0.0328592
106.098,0.04093
106.14,0.0430856
105.5,0.0494765
105.872,0.0362578
105.966,0.0347609
105.827,0.0422091
105.698,0.0524781
105.214,0.0495937
104.689,0.0616127
104.821,0.0676441
104.251,0.094591
104.766,0.0911313
105.287,0.0698538
104.993,0.0768553
106.066,0.0692316
105.694,0.0764803
105.61,0.0667458
104.959,0.083675
103.467,0.0918669
104.211,0.08462
105.099,0.098537
103.506,0.0949098
103.172,0.0974025
102.438,0.100202
100.705,0.103564
99.4917,0.0905781
98.7079,0.106046
97.8763,0.122639
95.7816,0.156466
95.8214,0.138118
95.1973,0.111789
95.4447,0.105109
95.8577,0.0882236
96.5586,0.0887239
96.1837,0.0825518
95.3921,0.109638
94.7598,0.0857746
96.2362,0.0543249
96.041,0.0666891
95.4714,0.0835053
94.8146,0.0827126
94.8554,0.0590757
94.9114,0.0773403
93.9985,0.0937516
92.8244,0.0859706
92.5484,0.0905069
93.136,0.0769076
94.0194,0.0660385
93.7379,0.0761337
94.2793,0.0526935
94.5046,0.0626757
94.1076,0.0720493
93.7395,0.0716484
93.5191,0.0870217
94.6735,0.0630093
94.8493,0.0794617
94.5261,0.0768651
93.8013,0.0808416
95.2025,0.0722155
94.3117,0.0870844
94.4799,0.0857756
93.7623,0.0936389
94.5635,0.0807679
94.1798,0.0711612
94.9739,0.0645551
93.5216,0.0933698
94.5896,0.0888166
94.1154,0.102714
92.6283,0.102774
92.2856,0.0699065
92.4198,0.0768492
94.9308,0.0668232
94.113,0.0738338
94.2903,0.0789274
95.0536,0.0640046
94.9538,0.0608394
94.2526,0.0702855
94.4234,0.0490416
95.0595,0.0652863
94.4457,0.0810345
93.2398,0.0875365
94.456,0.0729365
96.1057,0.0767541
96.5043,0.0837306
97.1041,0.0855748
95.7493,0.0825112
97.5843,0.0765379
95.9824,0.100715
95.7893,0.0852698
94.576,0.0710186
94.7823,0.0729688
93.6347,0.0725394
93.3277,0.0898184
92.8422,0.084464
93.9575,0.0632782
94.0898,0.0591355
92.6889,0.0765533
91.4426,0.0869636
90.4335,0.0976409
90.047,0.0993386
90.2326,0.0814857
90.1734,0.0653924
90.9349,0.0737907
90.6854,0.0711765
90.1106,0.0607197
90.4182,0.0469859
90.1359,0.0664858
90.3606,0.0518947
90.7976,0.045669
90.2554,0.0749273
